No,Filename,Width,Height,AspectRatio,PixelAspectRatio,RatioSource,UsageCount,DisplayRatioVariants,AssetKind,SvgRenderable,PptxNativeSupported,SizeKB,Category,ImageArea_SxS,TextArea_SxS
1,cover_cloud_architecture.png,1672,941,1.78,1.78,pixel,1,,bitmap,True,True,1519.7,Wide landscape,812x457,328x600
2,iaas_paas_saas_layers.png,1672,941,1.78,1.78,pixel,1,,bitmap,True,True,1574.0,Wide landscape,812x457,328x600
3,secure_request_flow.png,1672,941,1.78,1.78,pixel,1,,bitmap,True,True,1204.3,Wide landscape,812x457,328x600
